Feature_ID	Feature	Possible Values	Language_ID	Value	Source	Comment	Contributed_Datapoints	Clarifying comments	Relevant unit(s)	Function	Form	Patron
GB149	Is there a morphologically marked inverse on verbs?	1: present, 0: absent						Inverse systems are based on an animacy, person, or topicality hierarchy. Inverse markers indicate that the patient outranks the agent on the hierarchy. In a system that has a hierarchy [speech act participants > 3SG pronouns > humans > animals, etc.], for example, ‘man INV-bite dog’ would mean ‘the dog bit the man’. Note that in some languages, there are portmanteau morphemes that both function as person [indexes](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) on verbs and as direct/inverse markers. They would trigger 1 for this question. This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) inverse markers.	verb, index	argument marking, core	conjugation	Jakob Lesage
GB150	Is there clause chaining?	1: present, 0: absent						Clause-chaining involves sequences of medial clauses (i.e. formally reduced or restricted clauses that do not have the full marking that usually occurs on the verb) which are dependent on a single, fully inflected verb that often (but not always) occurs in final clause. Clause chains may also be referred to as topic chains or as sequences of medial clauses/medial verbs. Crucially, this construction involves a single clause with a full, unrestricted, finite verb form and several medial clauses that are dependent on it for specification of inflectional categories (e.g. TAM).  Clause chains are often used to describe sequences of events, and the medial verbs involved may be marked by [special affixes to indicate temporal relationships](https://github.com/grambank/Grambank/wiki/GB152). Clause chains may also include markers of [switch reference](https://github.com/grambank/Grambank/wiki/GB151). Medial verbs in some languages may be marked in the usual way for person/number of their arguments, though they generally lack some other canonical verbal inflection or involve specific marked verb forms that cannot be used in freestanding clauses.  There is considerable debate regarding the syntax of clause chaining generally and within individual languages. This construction is not merely a series of juxtaposed minimal clauses, as it requires dependency on one clause for full interpretation. It is also not straightforwardly a series of subordinated clauses (as in the series of temporal adjuncts in English, *Before he ate, while he was cooking the soup, he added salt.*). The syntactic relationship between clauses in clause chains is often described as a special type of coordination or a form of cosubordination.  In some cases clause-chaining may be difficult to distinguish from [serial verb constructions](https://github.com/grambank/Grambank/wiki/GB118). Remember that a serial verb construction involves a set of verbs or verb phrases that function as a single predicate, whereas clause-chaining involves a set of *clauses* with formally reduced verbs, all dependent on a single fully specified verb form. Clause-chaining is also different from [verb compounding](https://github.com/grambank/Grambank/wiki/GB122) in that the clauses in clause chaining are [phonologically independent](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) and express separate propositions, which is not the case for verb compounding. In cases where it is unclear which of these constructions is represented by the examples in the grammar, a ? may be coded, but be sure to indicate in the comments that you were unable to determine which of these constructions is demonstrated in the relevant examples.	verb, clause	predication	special construction	Hannah J. Haynie
GB151	Is there an overt verb marker dedicated to signaling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (‘switch reference’)?	1: present, 0: absent						Is there an overt marker [on the verb](https://github.com/grambank/grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27) that marks whether the argument has the same/a different referent as/than an argument of the following clause? Some languages (e.g. Kashaya) signal switch reference by using different allomorphs of TAM markers depending on whether the subject of the following clause is the same or different. Some systems (e.g. Southeastern Pomo) only have special morphology to indicate different subjects, whereas the contrasting morphological pattern that is used for coreferential subjects can also be used for some combinations of clauses with different referents.	verb, clause, index	deixis, argument marking, core	conjugation, indexing	Hannah J. Haynie
GB152	Is there a morphologically marked distinction between simultaneous and sequential clauses?	1: present, 0: absent						This question is concerned with whether there is an overt marker dedicated to signaling the distinction between temporally simultaneous and sequential actions. If sequential meaning is a secondary function of an imperfective aspect this does not count; it must be indicated by a devoted marker. The language does not need to express both sequential and simultaneous temporal relationships overtly; one marker devoted to either function is sufficient to trigger a 1.	verb, clause	TAM, sequentiality, simultaneity	conjugation	Hannah J. Haynie
GB155	Are causatives formed by affixes or clitics on verbs?	1: present, 0: absent						A causative is a valency increasing operation that introduces a causer core argument that makes a non-subject argument do or become something (e.g. ‘x eats’ -> ‘y feeds x’ = ‘y causes x to to eat’). Note that both causatives adding an argument to a transitive clause (*I drink milk* -> *x causes me to drink milk*) and those adding an argument to an intransitive clause (*I sit* -> *x causes me to sit*) are targeted by this question. This question targets [productive](https://github.com/grambank/grambank/wiki/Productivity), [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) causative markers. Lexicalized causative verbs should be disregarded for this feature.	verb	causative, valency change, derivation, valency increase	affixation, derivational morphology	Jakob Lesage
GB156	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for ‘to say’?	1: present, 0: absent						A causative is a valency increasing operation that introduces a causer subject that makes a non-subject argument do or become something (e.g. ‘x eats’ -> ‘y feeds x’ = ‘y causes x to to eat’). Both causatives adding an argument to a transitive clause (*I drink milk* -> *x causes me to drink milk*) and those adding an argument to an intransitive clause (*I sit -> x causes me to sit*) are included in this feature. This question targets causative constructions with an element that clearly originated as a verb for ‘to say’ (e.g. *I said for the stone to fall* to mean ‘I made the stone fall’). Various verbs of saying count for this feature, including ‘to say’, ‘to speak’ and ‘to call’. If another verb is involved that cannot be easily translated as ‘to say’, e.g. ‘ask’, code 0 but mention the verb in the comments.	verb, auxiliary, particle	causative, valency change, derivation, valency increase	special construction, derivational morphology	Jakob Lesage
GB158	Are verbs reduplicated?	1: present, 0: absent						A verb is reduplicated if its root is fully or partially repeated. The word class of the outcome of the process is not relevant, as long as the root is a verb. Full repetition of already inflected verbs or units larger than a root does not trigger a 1 for this feature. This feature only targets [productive](https://github.com/grambank/grambank/wiki/Productivity) reduplication. Reduplication in closed classes (e.g. only a small, closed conjugation class) is not relevant. Lexicalized examples are irrelevant.	verb	derivation	reduplication	Jakob Lesage
GB159	Are nouns reduplicated?	1: present, 0: absent						A noun is reduplicated if its root is fully or partially repeated. The word class of the outcome of the process is not relevant, as long as the root is a noun. Full repetition of already inflected nouns or units larger than a root does not trigger a 1 for this feature. This feature only targets [productive](https://github.com/grambank/grambank/wiki/Productivity) reduplication. Reduplication in closed classes (e.g. kinship terms) is not relevant. Lexicalized examples are irrelevant.	noun	derivation	reduplication	Jakob Lesage
GB160	Are elements apart from verbs or nouns reduplicated?	1: present, 0: absent						A lexeme is reduplicated if its root is fully or partially repeated. The word class of the outcome of the process is not relevant, as long as the root is not a noun or a verb. Reduplication of function words counts, as does reduplication of numerals, adjectives and adverbs. Full repetition of already inflected words or units larger than a root does not trigger a 1 for this feature. This feature only targets [productive](https://github.com/grambank/grambank/wiki/Productivity) reduplication. Lexicalized examples are irrelevant. For open word classes, this means that reduplication should not be limited to a small set of lexically determined roots. For closed word classes, any transparent reduplication counts as long as the non-reduplicated root is also still used. Roots that only occur in their reduplicated form should be considered lexicalized reduplications.	adjective, ideophone, adverb	derivation	reduplication	Jakob Lesage
GB165	Is there a productive morphological trial marker on nouns?	1: present, 0: absent						This question concerns a bound grammatical marker of trial number on nouns. The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. This feature contrasts with [GB319 Is trial number regularly marked in the noun phrase by a phonologically free element?](https://github.com/grambank/Grambank/wiki/GB319) which focuses on the non-bound marking of trial number. For more on bound marking, please see [this page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1.  Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and be coded as 1, as long as these other functions do not interfere with the number distinctions and as long as number marking is productive and regular.  It can be difficult to determine how [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) markers of dual, trial and paucal number are since they can often be replaced by plural number marking. If the grammar writers describe the marker as denoting grammatical number and there are several examples, this suffices.  The trial marker may be similar to the numeral for ‘three’, but it is crucial that it is used in a similar morphosyntactic manner to other number markers in the language.	noun	number	declension	Hedvig Skirgård
GB166	Is there a productive morphological paucal marker on nouns?	1: present, 0: absent						This question concerns a bound grammatical marker of paucal number on nouns (From Latin _paucalis_ ‘few, little’). Paucal is a number value that refers to a non-specified small amount usually between two or more and ten or less. The exact value can depend on what is being counted. The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. This feature contrasts with [GB320 Is paucal number regularly marked in the noun phrase by a phonologically free element?](https://github.com/grambank/Grambank/wiki/GB320) which focuses on the non-bound marking of paucal number. For more on bound marking, please see [this page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1.  Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and be coded as 1, as long as these other functions do not interfere with the number distinctions and as long as number marking is productive and regular.  It can be difficult to determine how [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) markers of dual, trial and paucal number are since they can often be replaced by plural number marking. If the grammar writers describe the marker as denoting grammatical number and there are several examples, this suffices.	noun	number	declension	Hedvig Skirgård
GB167	Is there a logophoric pronoun?	1: present, 0: absent						Logophoric pronouns are used to distinguish reference to an individual whose speech or thought or feeling is being reported, as opposed to other third-person referents. Unsurprisingly, then, logophoric pronouns are found in reported speech contexts. This question concerns the existence of a special pronoun that specifically refers to the speaker/thinker/feeler in a reported speech construction. This special pronominal form occurs commonly in the complement clause of a speech or thought verb to designate the speaker/thinker/feeler (who is often also the subject of the speech/thought verb) as its referent.	pronoun	logophoricity, deixis, argument marking, core	declension, paradigm	Hannah J. Haynie
GB170	Can an adnominal property word agree with the noun in noun class/gender?	1: present, 0: absent						For this feature, we are interested in [noun classes](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) (classes which nouns belong to based on properties such as gender, animacy, or shape and can be identified through [agreement](https://github.com/grambank/grambank/wiki/Agreement) with a modifier). We are not looking at noun classifiers (classifiers classify the noun and occur independently from other elements). This feature asks whether adjectives (defined semantically as ‘adnominal property words’) show agreement with the noun class/gender of nouns they modify. This should be true for [more than a small class of semantically restricted adjectives](https://github.com/grambank/grambank/wiki/Productivity); English ‘blond’ vs. ‘blonde’ for example would not be enough to answer 1 for the question.	adjective, NP	gender, attribution	agreement, declension	Jay Latarche and Jeremy Collins
GB171	Can an adnominal demonstrative agree with the noun in noun class/gender?	1: present, 0: absent						For this feature, we are interested in [noun classes](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) (classes which nouns belong to based on properties such as gender, animacy, or shape and can be identified through [agreement](https://github.com/grambank/grambank/wiki/Agreement) with a modifier). We are not looking at noun classifiers (classifiers classify the noun and occur independently from other elements). Demonstratives are adnominal modifiers that mark position. This feature asks whether demonstratives can agree in gender/noun class with their head noun, whether or not the head noun is overtly marked for gender/noun class.	demonstrative, NP	gender, attribution, deixis	agreement, declension	Jay Latarche and Jeremy Collins
GB172	Can an article agree with the noun in noun class/gender?	1: present, 0: absent						For this feature, we are interested in [noun classes](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) (classes which nouns belong to based on properties such as gender, animacy, or shape and can be identified through [agreement](https://github.com/grambank/grambank/wiki/Agreement) with a modifier). We are not looking at noun classifiers (classifiers classify the noun and occur independently from other elements). Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for gender/noun class. This feature concerns both definite and indefinite articles. Features [GB020](https://github.com/grambank/grambank/wiki/GB020) and [GB021](https://github.com/grambank/grambank/wiki/GB021) both concern the absence or presence of definite and indefinite articles, please consider those features if you have coded 1 for this feature.	article, NP, demonstrative	gender, deixis, definiteness	agreement, declension	Jay Latarche and Jeremy Collins
GB177	Can the verb carry a marker of animacy of argument, unrelated to any noun class/gender of the argument visible in the NP domain?	1: present, 0: absent						Does the animacy of an argument ([S or A or P](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P))) determine the form or presence of an [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) on the verb. This system of marking needs to be unrelated to or not reducible to the [gender/noun class system](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) as revealed by [agreement](https://github.com/grambank/grambank/wiki/Agreement) in the noun phrase.	verb, index	nominal classification, predication	agreement, conjugation	Alena Witzlack-Makarevich
GB184	Can an adnominal property word agree with the noun in number?	1: present, 0: absent						Adnominal property words semantically roughly correspond to adjectives in languages that have a separate adjective class. The property word can agree in number with the head noun even if the head noun is not overtly marked for number.	adjective, NP	number, attribution	agreement, declension	Jay Latarche and Jeremy Collins
GB185	Can an adnominal demonstrative agree with the noun in number?	1: present, 0: absent						This question concerns adnominal demonstratives (not pronominal demonstratives) and whether they can agree in number with the head noun. Number marking on demonstratives counts as agreement even if the head noun is not overtly marked for number.	demonstrative, NP	number, attribution, deixis	agreement, declension	Jay Latarche and Jeremy Collins
GB186	Can an article agree with the noun in number?	1: present, 0: absent						An article is a marker that accompanies the noun and expresses notions such as (non-)specificity and (in)definiteness. When an article is marked for number, this counts as agreement even if the head noun is not overtly marked for number. This includes both definite and indefinite articles.	article, NP, demonstrative	number, deixis, definiteness	agreement, declension	Jay Latarche and Jeremy Collins
GB187	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent						Diminutive marking encodes smaller size. This marker must be [phonologically bound to the noun](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence). The marker may also encode other meanings but needs to minimally encode smaller size. Reduplication and stem changes count. This needs to be a [productive](https://github.com/grambank/grambank/wiki/Productivity) pattern.	noun	nominalization, diminutive, derivation	derivational morphology	Jay Latarche and Jeremy Collins
GB188	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent						Augmentative marking generally intensifies the noun (in various ways). To code 1, the marker needs to minimally encode a large size of the noun it is attached to. This needs to be a [productive](https://github.com/grambank/grambank/wiki/Productivity) pattern.	noun	nominalization, augmentative, derivation	derivational morphology	Jay Latarche and Jeremy Collins
GB192	Is there a noun class/gender system where a noun’s phonological properties are a factor in class assignment?	1: present, 0: absent						A noun class/gender system categorizes nouns for the purposes of grammatical [agreement](https://github.com/grambank/grambank/wiki/Agreement) with other constituents in the noun phrase or other inflectional morphology. See the [classification wiki page](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) for more information on our definition of noun class/gender. Noun class/gender assignment may be based on one or several factors. This feature focuses on whether the phonological properties of a noun constitute one of these factors for a given language. For this feature to be coded 1, there must be a clear preference for certain nouns to be classified in certain gender categories as a result of specific phonological properties. That is, some phonological property of a noun must be one relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment. Examples of phonological properties that may play a role in gender/class assignment include tone, initial consonants, or root-final segments. Note that noun class/gender morphology may create phonological similarities across members of a certain noun class or gender; however, this is not sufficient for a 1 coding for this feature. Phonological properties must contribute to the categorization of nouns to classes/genders, rather than simply result from associated morphology.	noun	gender	declension	Hannah J. Haynie
GB193	What is the order of adnominal property word and noun?	multistate 1: ANM - N; 2: N - ANM; 3: both; 0: they cannot be used attributively						Adnominal property words are called adjectives in those languages where they make up a separate word class. We want to include elements that mark ‘adjectival’ function but that might not be described as ‘adjectives’, see [GB069](https://github.com/grambank/Grambank/wiki/GB069). The question concerns the pragmatically neutral order(s).	adjective, NP	attribution	word order	Jay Latarche and Jeremy Collins
GB196	Is there a masculine/feminine distinction in phonologically independent second person pronouns?	1: present, 0: absent						This feature asks whether the [phonologically independent pronoun](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) forms used for second persons differ for masculine and feminine referents. This masculine/feminine distinction is a minimal contrast required for the coding of this feature, but other gender categories may also be encoded in second person pronoun forms. Pronoun systems that encode other grammatical gender/noun class categories in second person forms in the absence of a masculine/feminine distinction are not sufficient to satisfy this criterion. Languages that qualify for a 1 code for this feature will include a distinction between masculine and feminine forms in at least some categories of second person independent pronouns, but possibly not all categories. In many languages this contrast occurs only in the singular pronouns; that is, there is a contrast between masculine and feminine forms for second person singular, but not for second person plural (or dual, or any other non-singular number category). In some languages there is a contrast in multiple number categories, including singular and some non-singular number categories. It is uncommon for a language to have a masculine/feminine contrast in non-singular second person pronouns but not in the singular pronouns. However such languages would also satisfy the criteria for this feature. For more information on the difference between grammatical gender and social, cultural, and biological constructs or traits, see the [gender wiki page](https://github.com/grambank/grambank/wiki/Grammatical-gender-and-other-notions-of-gender).	pronoun	gender	declension, paradigm	Hannah J. Haynie
GB197	Is there a masculine/feminine distinction in phonologically independent first person pronouns?	1: present, 0: absent						This feature asks whether the [phonologically independent pronoun](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) forms used for first person differ for masculine and feminine referents. This masculine/feminine distinction is a minimal contrast required for the coding of this feature, but other gender categories may also be encoded in a language’s first person pronoun forms. Pronoun systems that encode other grammatical gender/noun class categories in first person forms in the absence of a masculine/feminine distinction are not sufficient to satisfy this criterion. Languages that qualify for a 1 code for this feature will include a distinction between masculine and feminine forms in at least some categories of first person independent pronouns, but possibly not all categories. In many languages this contrast occurs only in the singular pronouns; that is, there is a contrast between masculine and feminine forms for first person singular, but not for first person plural (or dual, or any other non-singular number category). In some languages there is a relevant contrast in multiple number categories, including singular and some non-singular number categories. It is uncommon for a language to have a masculine/feminine contrast in non-singular first person pronouns but not in the singular pronouns. However, such languages also satisfy the criteria for this feature. For more information on the difference between grammatical gender and social, cultural, and biological constructs or traits, see the [gender wiki page](https://github.com/grambank/grambank/wiki/Grammatical-gender-and-other-notions-of-gender).	pronoun	gender	declension, paradigm	Hannah J. Haynie
GB198	Can an adnominal numeral agree with the noun in noun class/gender?	1: present, 0: absent						For this feature, we are interested in [noun classes](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) (classes which nouns belong to based upon properties such as gender, animacy, or shape and can be identified through [agreement](https://github.com/grambank/grambank/wiki/Agreement) with a modifier). We are not looking at noun classifiers ([GB057](https://github.com/grambank/Grambank/wiki/GB057)) (classifiers classify the noun and occur independently from other elements). This feature asks whether adnominal numerals show agreement with the gender of nouns they modify. This system of agreement should be [productive](https://github.com/grambank/grambank/wiki/Productivity).	numeral, NP	quantification, attribution, gender	agreement, declension	Jay Latarche and Jeremy Collins
GB203	What is the order of the adnominal collective universal quantifier (‘all’) and the noun?	0: no UQ, 1: UQ-N, 2: N-UQ, 3: both						This feature is concerned with the ordering of a universal quantifier (‘all’) and the noun. As with other word order features in this database, this is focused specifically on adnominal quantification in pragmatically unmarked contexts. In languages that do not have a distinction between collective and distributive universal quantifiers (‘all’ vs. ‘every’), a quantifier that could be translated as ‘all’ and has a primarily plural use will be a sufficient target for this feature.  There are four possible codes for this feature, reflecting the fact that the collective universal quantifier might occur strictly before or strictly after the noun, may be allowed in both of these relative positions, or may not be present in a language. A 0 code is also applicable when the language does not allow a basic construction with an adnominal collective universal quantifier and a noun (e.g. if only a floating construction is used).  Orders that result from constructions like quantifier float (e.g. English *The children have **all** come.*) should be disregarded for the purposes of coding this feature.	quantifier, NP	quantification, attribution	word order	Hannah J. Haynie
GB204	Do collective (‘all’) and distributive (‘every’) universal quantifiers differ in their forms or their syntactic positions?	1: present, 0: absent						This feature identifies languages that use different forms or syntactic positions for collective universal quantification (e.g. English *all*) versus distributive universal quantification (e.g. English *every*). This contrasts with languages that use both the same form *and* the same word order for these two types of quantification.	quantifier, NP	quantification, attribution	word order, declension, paradigm	Hannah J. Haynie
GB250	Can predicative possession be expressed with a transitive ‘habeo’ verb?	1: present, 0: absent						This question concerns predicative possession, i.e. clauses that express an ownership relation between a possessor and a possessum. For this feature, we are looking for a verb that expresses predicative possession where the possessor is the subject, the possessum the object and the verb is finite and clearly transitive. The finite element in itself need not be clearly distinct from an existential or locational predicator, the main difference is the argument structure.  Transitivity is a language-specific category that needs to be investigated separately to learn whether or not the construction is transitive. In case of languages where transitivity is hard to define it might be beneficial to compare to verbs of holding and grasping. It is very likely that habeo-verb constructions arise from possessive constructions where the possessor is expressed as a topic.	verb, clause	verb classification, predicative possession, predication	auxiliary	Hedvig Skirgård
GB252	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?	1: present, 0: absent						This question concerns predicative possession, i.e. clauses that express an ownership relation between a possessor and possessum. This feature is concerned with clauses where the possessum is the subject of an existential/locative predicate and the possessor is in an oblique form marked by an element meaning ‘at/in/on’ (e.g. *the car is on me* to mean ‘I have a car.’ or ‘The car is mine.’). The possessor-NP need not be overtly marked for location, it can be expressed in the verb itself, e.g. with a locative extension.  This type of predicative possession construction is known as the ‘locational possessive’ in the work of Stassen (2001, 2013).	verb, clause, NP, case marker, adposition, index	predication, predicative possession, argument marking, oblique, locative	flagging, indexing	Hedvig Skirgård
GB253	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?	1: present, 0: absent						This question concerns predicative possession, i.e. clauses that express an ownership relation between a possessor and possessum. This feature concerns clauses where the possessum is the subject of an existential predicate and the possessor is coded as an oblique argument, marked by an element meaning ‘to/for’ or by a dative marker (e.g. *car is to me*, *car is for me*, meaning ‘The car is mine’, or ‘I have a car’). The possessor-NP need not be marked for dative case. The dative meaning can be expressed on the verb itself, e.g. with a benefactive extension.  This type of predicative possession construction is known as the ‘dative possessive’, a subcategory of the ‘locational possessive’, in the work of Stassen (2000, 2001, 2003).	verb, clause, NP, case marker, adposition, index	predication, predicative possession, argument marking, oblique, dative	flagging, indexing	Hedvig Skirgård
GB254	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?	1: present, 0: absent						This question concerns predicative possession, i.e. clauses that express an ownership relation between a possessor and possessum. This feature concerns clauses where the possessum is the subject and the possessor is construed as a modifier of the possessum (e.g. *my car exists* to mean ‘I have a car’).  This type of predicative possessive construction is known as the ‘genitive possessive’ in the work of Stassen (2001, 2013).	verb, clause, NP, case marker, adposition, index	predication, predicative possession, argument marking, oblique, genitive	flagging, indexing	Hedvig Skirgård
GB256	Can predicative possession be expressed with a comitative/conjunctional construction?	1: present, 0: absent						This question concerns predicative possession, i.e. clauses that express an ownership relation between a possessor and a possessum. This feature concerns a clause which features a comitative/conjunctional construction (c.f. Stassen 2000, 2001, 2013). The predicate is an existential/locational/copula and the possessum or possessor is marked by an element marking simultaneity between clauses, or ‘also/too’, or subordinating conjunction (‘when/while’), or coordinating particle (‘and’), or a comitative marker (‘with’). The marker need not be [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence). Both constructions where the possessor and constructions where the possessum is marked by the comitative marker count.	verb, clause, NP, case marker, adposition, index	predication, predicative possession, argument marking, oblique, comitative	flagging, indexing	Hedvig Skirgård
GB257	Can polar interrogation be marked by intonation only?	1: present, 0: absent						For this feature, we are looking for polar interrogation marked by intonation, and it should be the only marker in that construction. However, it does not have to be the only construction in the language which can mark polar interrogation. Intonation is our focus and not tone. Intonation is different from tonal marking. Tonal marking is bound to a certain position in the clause (e.g. the final syllable, or a certain constituent). Intonation concerns the whole clause and will have a variation in pitch across sentences and phrases.	verb, clause, sentence	mood, interrogation	intonation	Jay Latarche and Jeremy Collins
GB260	Can polar interrogation be indicated by a special word order?	1: present, 0: absent						Can a change in word order mark polar questions? In order for a construction to trigger 1, there should be no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.  This excludes intonation, which may be different between questions and declarative statements.	verb, clause, sentence	mood, interrogation	word order	Jay Latarche and Jeremy Collins
GB262	Is there a clause-initial polar interrogative particle?	1: present, 0: absent						"In this feature, we are looking for a polar interrogative [particle](https://github.com/grambank/grambank/wiki/Particles) that appears at the beginning of the clause. The particle should be dedicated to marking questions that ask for the equivalent of an affirmative or negative answer (as opposed to content questions).  Dryer (2013) distinguishes **neutral** questions from **leading** questions in the paragraph quoted below. This feature in Grambank concerns neutral questions:  ""Many languages have question particles or expressions that indicate that the question is a leading question, one where the speaker has an expectation as to what the answer will be. English, for example, employs what are called ""tag-questions"" for this purpose, illustrated in (13a), which differ from the neutral question form illustrated in (13b) in that its form indicates that the speaker expects a ‘yes’ answer.  13a. You’re planning to go to the beach, aren’t you?  13b. Are you planning to go to the beach?"""	verb, clause, particle	mood, interrogation	particle, word order	Jay Latarche and Jeremy Collins
GB263	Is there a clause-final polar interrogative particle?	1: present, 0: absent						"In this feature, we are looking for a polar interrogative [particle](https://github.com/grambank/grambank/wiki/Particles) which appears at the end of the clause. The particle should be dedicated to marking questions that ask for the equivalent of an affirmative or negative answer (as opposed to content questions). This particle does not have to be obligatory, and it is sufficient if the particle does not always appear in clause-final position.  Dryer (2013) distinguishes **neutral** questions from **leading** questions in the paragraph quoted below. This feature in Grambank concerns neutral questions.  ""Many languages have question particles or expressions that indicate that the question is a leading question, one where the speaker has an expectation as to what the answer will be. English, for example, employs what are called ""tag-questions"" for this purpose, illustrated in (13a), which differ from the neutral question form illustrated in (13b) in that its form indicates that the speaker expects a ‘yes’ answer.  13a. You’re planning to go to the beach, aren’t you?  13b. Are you planning to go to the beach?"""	verb, clause, particle	mood, interrogation	particle, word order	Jay Latarche and Jeremy Collins
GB264	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	1: present, 0: absent						"Is there a [particle](https://github.com/grambank/grambank/wiki/Particles) that is dedicated to marking questions that ask for the equivalent of a 'yes’ or 'no’ answer (as opposed to content questions) that most commonly occurs in the middle of the clause, neither initially nor finally?  (definition from Dryer 2013b).  [Dryer (2013a)](https://wals.info/chapter/92) distinguishes **neutral** questions from **leading** questions, and this feature in Grambank concerns neutral questions:  ""Many languages have question particles or expressions that indicate that the question is a leading question, one where the speaker has an expectation as to what the answer will be. English, for example, employs what are called ""tag-questions"" for this purpose, illustrated in (13a), which differ from the neutral question form illustrated in (13b) in that its form indicates that the speaker expects a ‘yes’ answer.  13a. You’re planning to go to the beach, aren’t you?  13b. Are you planning to go to the beach?"""	verb, clause, particle	mood, interrogation	particle, word order	Jay Latarche and Jeremy Collins
GB265	Is there a comparative construction that includes a form that elsewhere means ‘surpass, exceed’?	1: present, 0: absent						This feature identifies languages that have a comparative construction that involves a form (usually a verb form) meaning ‘surpass’ or ‘exceed’. Typically, the standard of comparison is the direct object, the object of comparison is the subject, and there are two predicates: one expressing ‘surpass/exceed’, and one carrying relevant lexical information about the property under comparison (e.g. *Ronald exceed be-tall Julia.*, meaning ‘Ronald is taller than Julia.’).  Though this typical structure is quite common in languages that have a ‘surpass/exceed’ comparative construction, only the use of a ‘surpass/exceed' form is required for this feature; it is not necessary for the standard to occur as a direct object or the thing being compared to serve as the subject in order to trigger a 1 value. The order of these predicates is not relevant for this feature, nor whether the property word is a verb or an adjective. The predicate expressing ‘surpass/exceed’ must also have functions besides comparison.	verb, auxiliary, particle, clause, adjective	comparison, predication	auxiliary, particle	Hannah J. Haynie
GB266	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	1: present, 0: absent						This feature identifies comparative constructions that mark the standard of comparison with an element that is otherwise locational or benefactive in meaning. In these constructions a marker that also has a locational (or benefactive) function is invariably found in the standard NP. Please note that benefactive markers are included here, following Stassen’s (1984, 1985) category of locational comparatives. The marker of the property word is irrelevant for this feature (e.g. the English *-er* suffix, as in *tall-er*).	verb, particle, clause, adjective, adposition	comparison, predication, argument marking, oblique, locative	flagging, indexing	Hannah J. Haynie
GB270	Can comparatives be expressed using two conjoined clauses?	1: present, 0: absent						Is there a comparative construction comprised of two conjoined clauses? Specifically, this construction must involve two conjoined clauses, one containing the standard of comparison and one containing the object of comparison, with no additional, obligatory, special markers of comparison (e.g. English *than*, or *surpass/exceed*). The NPs expressing the standard and object of comparison typically have the same function in the clauses. Note that many languages can juxtapose clauses (e.g. English *She is nice and he is not nice.*), however these sorts of constructions should only be considered for this feature when they are a dedicated way of expressing comparative meaning (e.g. when the structure clearly has a meaning like, ‘She is nicer than he is.’). In other words, we are focused on languages that have a dedicated comparative construction involving conjoined clauses.	verb, clause, adjective, sentence	comparison, predication	special construction	Hannah J. Haynie
